601 121 1
0 0 -21 	 0 0 -2.0178
0 0 -20 	 0 0 -2.0186
0 0 -19 	 0 0 -2.01945
0 0 -18 	 0 0 -2.0203
0 0 -17 	 0 0 -2.02095
0 0 -16 	 0 0 -2.0216
0 0 -15 	 0 0 -2.02205
0 0 -14 	 0 0 -2.0225
0 0 -13 	 0 0 -2.0229
0 0 -12 	 0 0 -2.0233
0 0 -11 	 0 0 -2.02365
0 0 -10 	 0 0 -2.024
0 0 -9 	 0 0 -2.0242
0 0 -8 	 0 0 -2.0244
0 0 -7 	 0 0 -2.0245
0 0 -6 	 0 0 -2.0246
0 0 -5 	 0 0 -2.02465
0 0 -4 	 0 0 -2.0247
0 0 -3 	 0 0 -2.0245
0 0 -2 	 0 0 -2.0243
0 0 -1 	 0 0 -2.02395
0 0 0 	 0 0 -2.0236
0 0 1 	 0 0 -2.02325
0 0 2 	 0 0 -2.0229
0 0 3 	 0 0 -2.02255
0 0 4 	 0 0 -2.0222
0 0 5 	 0 0 -2.0215
0 0 6 	 0 0 -2.0208
0 0 7 	 0 0 -2.0201
0 0 8 	 0 0 -2.0194
0 0 9 	 0 0 -2.01865
0 0 10 	 0 0 -2.0179
0 0 11 	 0 0 -2.017
0 0 12 	 0 0 -2.0161
0 0 13 	 0 0 -2.015
0 0 14 	 0 0 -2.0139
0 0 15 	 0 0 -2.01275
0 0 16 	 0 0 -2.0116
0 0 17 	 0 0 -2.0105
0 0 18 	 0 0 -2.0094
0 0 19 	 0 0 -2.0079
0 0 20 	 0 0 -2.0064
0 0 21 	 0 0 -2.0049
0 0 22 	 0 0 -2.0034
0 0 23 	 0 0 -2.0019
0 0 24 	 0 0 -2.0004
0 0 25 	 0 0 -1.9987
0 0 26 	 0 0 -1.997
0 0 27 	 0 0 -1.9951
0 0 28 	 0 0 -1.9932
0 0 29 	 0 0 -1.99125
0 0 30 	 0 0 -1.9893
0 0 31 	 0 0 -1.9874
0 0 32 	 0 0 -1.9855
0 0 33 	 0 0 -1.9832
0 0 34 	 0 0 -1.9809
0 0 35 	 0 0 -1.9786
0 0 36 	 0 0 -1.9763
0 0 37 	 0 0 -1.974
0 0 38 	 0 0 -1.9717
0 0 39 	 0 0 -1.9692
0 0 40 	 0 0 -1.9667
0 0 41 	 0 0 -1.96395
0 0 42 	 0 0 -1.9612
0 0 43 	 0 0 -1.9585
0 0 44 	 0 0 -1.9558
0 0 45 	 0 0 0
0 0 46 	 0 0 -1.9503
0 0 47 	 0 0 -1.9472
0 0 48 	 0 0 -1.9441
0 0 49 	 0 0 -1.94095
0 0 50 	 0 0 -1.9378
0 0 51 	 0 0 -1.9347
0 0 52 	 0 0 -1.9316
0 0 53 	 0 0 -1.92805
0 0 54 	 0 0 -1.9249
0 0 55 	 0 0 0
0 0 56 	 0 0 -1.9178
0 0 57 	 0 0 -1.91425
0 0 58 	 0 0 -1.9107
0 0 59 	 0 0 -1.90715
0 0 60 	 0 0 -1.9036
0 0 61 	 0 0 -1.8996
0 0 62 	 0 0 -1.8956
0 0 63 	 0 0 -1.89165
0 0 64 	 0 0 -1.8877
0 0 65 	 0 0 -1.8837
0 0 66 	 0 0 -1.8797
0 0 67 	 0 0 -1.87555
0 0 68 	 0 0 -1.8714
0 0 69 	 0 0 -1.867
