601 121 1
0 0 14 	 0 0 -1.6917
0 0 15 	 0 0 -1.6908
0 0 16 	 0 0 -1.6899
0 0 17 	 0 0 -1.68895
0 0 18 	 0 0 -1.688
0 0 19 	 0 0 -1.68675
0 0 20 	 0 0 -1.6855
0 0 21 	 0 0 -1.6842
0 0 22 	 0 0 -1.6829
0 0 23 	 0 0 -1.68165
0 0 24 	 0 0 -1.6804
0 0 25 	 0 0 -1.67895
0 0 26 	 0 0 -1.6775
0 0 27 	 0 0 -1.6759
0 0 28 	 0 0 -1.6743
0 0 29 	 0 0 -1.6727
0 0 30 	 0 0 -1.6711
0 0 31 	 0 0 -1.6695
0 0 32 	 0 0 -1.6679
0 0 33 	 0 0 -1.666
0 0 34 	 0 0 -1.6641
0 0 35 	 0 0 -1.66215
0 0 36 	 0 0 -1.6602
0 0 37 	 0 0 -1.65825
0 0 38 	 0 0 -1.6563
0 0 39 	 0 0 -1.6542
0 0 40 	 0 0 -1.6521
0 0 41 	 0 0 -1.6498
0 0 42 	 0 0 -1.6475
0 0 43 	 0 0 -1.6452
0 0 44 	 0 0 -1.6429
0 0 45 	 0 0 0
0 0 46 	 0 0 -1.6384
0 0 47 	 0 0 -1.63575
0 0 48 	 0 0 -1.6331
0 0 49 	 0 0 -1.6305
0 0 50 	 0 0 -1.6279
0 0 51 	 0 0 -1.62525
0 0 52 	 0 0 -1.6226
0 0 53 	 0 0 -1.61963
0 0 54 	 0 0 -1.617
0 0 55 	 0 0 0
0 0 56 	 0 0 -1.611
0 0 57 	 0 0 -1.60805
0 0 58 	 0 0 -1.6051
0 0 59 	 0 0 -1.6021
0 0 60 	 0 0 -1.5991
0 0 61 	 0 0 -1.59575
0 0 62 	 0 0 -1.5924
0 0 63 	 0 0 -1.58905
0 0 64 	 0 0 -1.5857
0 0 65 	 0 0 -1.5824
0 0 66 	 0 0 -1.5791
0 0 67 	 0 0 -1.57555
0 0 68 	 0 0 -1.572
0 0 69 	 0 0 -1.56835
0 0 70 	 0 0 -1.5647
0 0 71 	 0 0 -1.56095
0 0 72 	 0 0 -1.5572
0 0 73 	 0 0 -1.5534
0 0 74 	 0 0 -1.5496
0 0 75 	 0 0 -1.54565
0 0 76 	 0 0 -1.5417
0 0 77 	 0 0 -1.5377
0 0 78 	 0 0 -1.5337
0 0 79 	 0 0 -1.5296
0 0 80 	 0 0 -1.5255
0 0 81 	 0 0 -1.52125
0 0 82 	 0 0 -1.517
0 0 83 	 0 0 -1.5126
0 0 84 	 0 0 -1.5082
0 0 85 	 0 0 -1.5037
0 0 86 	 0 0 -1.4992
0 0 87 	 0 0 -1.49465
0 0 88 	 0 0 -1.4901
0 0 89 	 0 0 -1.48545
0 0 90 	 0 0 -1.4808
0 0 91 	 0 0 -1.47605
0 0 92 	 0 0 -1.4713
0 0 93 	 0 0 -1.4665
0 0 94 	 0 0 -1.4617
0 0 95 	 0 0 -1.4567
0 0 96 	 0 0 -1.4517
0 0 97 	 0 0 -1.4466
0 0 98 	 0 0 -1.4415
0 0 99 	 0 0 -1.43635
0 0 100 	 0 0 -1.4312
0 0 101 	 0 0 -1.42605
0 0 102 	 0 0 -1.4209
0 0 103 	 0 0 -1.41545
0 0 104 	 0 0 -1.41
0 0 105 	 0 0 -1.4045
0 0 106 	 0 0 -1.399
0 0 107 	 0 0 -1.39355
0 0 108 	 0 0 -1.3881
0 0 109 	 0 0 -1.38245
0 0 110 	 0 0 -1.3768
0 0 111 	 0 0 -1.371
0 0 112 	 0 0 -1.3652
0 0 113 	 0 0 -1.3594
0 0 114 	 0 0 -1.3536
0 0 115 	 0 0 -1.3478
0 0 116 	 0 0 -1.342
0 0 117 	 0 0 -1.3359
0 0 118 	 0 0 -1.3298
0 0 119 	 0 0 -1.3237
0 0 120 	 0 0 -1.3176
0 0 121 	 0 0 -1.3115
0 0 122 	 0 0 -1.3054
0 0 123 	 0 0 -1.29915
0 0 124 	 0 0 -1.2929
0 0 125 	 0 0 -1.28655
0 0 126 	 0 0 -1.2802
0 0 127 	 0 0 -1.27347
0 0 128 	 0 0 -1.2675
0 0 129 	 0 0 -1.26072
0 0 130 	 0 0 -1.2547
0 0 131 	 0 0 -1.24805
0 0 132 	 0 0 -1.2414
0 0 133 	 0 0 -1.2344
0 0 134 	 0 0 -1.2282
0 0 135 	 0 0 -1.2212
0 0 136 	 0 0 -1.215
0 0 137 	 0 0 -1.20785
0 0 138 	 0 0 -1.2015
0 0 139 	 0 0 -1.1947
0 0 140 	 0 0 -1.1879
0 0 141 	 0 0 -1.18069
0 0 142 	 0 0 -1.1743
0 0 143 	 0 0 -1.16704
0 0 144 	 0 0 -1.1606
0 0 145 	 0 0 -1.15318
0 0 146 	 0 0 -1.1466
0 0 147 	 0 0 -1.13918
0 0 148 	 0 0 -1.1326
0 0 149 	 0 0 -1.12565
0 0 150 	 0 0 -1.1187
0 0 151 	 0 0 -1.1116
0 0 152 	 0 0 -1.1045
0 0 153 	 0 0 -1.09697
0 0 154 	 0 0 -1.0903
0 0 155 	 0 0 -1.08277
0 0 156 	 0 0 -1.0761
0 0 157 	 0 0 -1.06895
0 0 158 	 0 0 -1.0618
0 0 159 	 0 0 -1.05422
0 0 160 	 0 0 -1.0475
0 0 161 	 0 0 -1.03987
0 0 162 	 0 0 -1.0331
0 0 163 	 0 0 -1.02547
0 0 164 	 0 0 -1.0187
0 0 165 	 0 0 -1.0115
0 0 166 	 0 0 -1.0043
0 0 167 	 0 0 -0.9971
0 0 168 	 0 0 -0.9899
0 0 169 	 0 0 -0.9827
0 0 170 	 0 0 -0.9755
0 0 171 	 0 0 -0.967815
0 0 172 	 0 0 -0.961
0 0 173 	 0 0 -0.95385
0 0 174 	 0 0 -0.9467
0 0 175 	 0 0 -0.939068
0 0 176 	 0 0 -0.9323
0 0 177 	 0 0 -0.924668
0 0 178 	 0 0 -0.9179
0 0 179 	 0 0 -0.910321
0 0 180 	 0 0 -0.9036
0 0 181 	 0 0 -0.896021
0 0 182 	 0 0 -0.8893
0 0 183 	 0 0 -0.8822
0 0 184 	 0 0 -0.8751
0 0 185 	 0 0 -0.868
0 0 186 	 0 0 -0.8609
0 0 187 	 0 0 -0.8539
0 0 188 	 0 0 -0.8469
0 0 189 	 0 0 -0.83948
0 0 190 	 0 0 -0.8329
0 0 191 	 0 0 -0.8259
0 0 192 	 0 0 -0.8189
0 0 193 	 0 0 -0.811586
0 0 194 	 0 0 -0.8051
0 0 195 	 0 0 -0.79825
0 0 196 	 0 0 -0.7914
0 0 197 	 0 0 -0.78455
0 0 198 	 0 0 -0.7777
0 0 199 	 0 0 -0.7709
0 0 200 	 0 0 -0.7641
0 0 201 	 0 0 -0.75745
0 0 202 	 0 0 -0.7508
0 0 203 	 0 0 -0.743751
0 0 204 	 0 0 -0.7375
0 0 205 	 0 0 -0.73085
0 0 206 	 0 0 -0.7242
0 0 207 	 0 0 -0.7177
0 0 208 	 0 0 -0.7112
0 0 209 	 0 0 -0.7048
0 0 210 	 0 0 -0.6984
0 0 211 	 0 0 -0.692
0 0 212 	 0 0 -0.6856
0 0 213 	 0 0 -0.678816
0 0 214 	 0 0 -0.6728
0 0 215 	 0 0 -0.66665
0 0 216 	 0 0 -0.6605
0 0 217 	 0 0 -0.653981
0 0 218 	 0 0 -0.6482
0 0 219 	 0 0 -0.6421
0 0 220 	 0 0 -0.636
0 0 221 	 0 0 -0.63
0 0 222 	 0 0 -0.624
0 0 223 	 0 0 -0.617693
0 0 224 	 0 0 -0.6121
0 0 225 	 0 0 -0.6062
0 0 226 	 0 0 -0.6003
0 0 227 	 0 0 -0.5945
0 0 228 	 0 0 -0.5887
0 0 229 	 0 0 -0.582764
0 0 230 	 0 0 -0.5775
0 0 231 	 0 0 -0.57195
0 0 232 	 0 0 -0.5664
0 0 233 	 0 0 -0.56057
0 0 234 	 0 0 -0.5554
0 0 235 	 0 0 -0.55
0 0 236 	 0 0 -0.5446
0 0 237 	 0 0 -0.53925
0 0 238 	 0 0 -0.5339
0 0 239 	 0 0 -0.528282
0 0 240 	 0 0 -0.5233
0 0 241 	 0 0 -0.51815
0 0 242 	 0 0 -0.513
0 0 243 	 0 0 -0.5077
0 0 244 	 0 0 -0.503
0 0 245 	 0 0 -0.49805
0 0 246 	 0 0 -0.4931
0 0 247 	 0 0 -0.4882
0 0 248 	 0 0 -0.4833
0 0 249 	 0 0 -0.478265
0 0 250 	 0 0 -0.4738
0 0 251 	 0 0 -0.4691
0 0 252 	 0 0 -0.4644
0 0 253 	 0 0 -0.459471
0 0 254 	 0 0 -0.4551
0 0 255 	 0 0 -0.450277
0 0 256 	 0 0 -0.446
0 0 257 	 0 0 -0.44165
0 0 258 	 0 0 -0.4373
0 0 259 	 0 0 -0.432689
0 0 260 	 0 0 -0.4286
0 0 261 	 0 0 -0.4243
0 0 262 	 0 0 -0.42
0 0 263 	 0 0 -0.4159
0 0 264 	 0 0 -0.4118
0 0 265 	 0 0 -0.407507
0 0 266 	 0 0 -0.4037
0 0 267 	 0 0 -0.39965
0 0 268 	 0 0 -0.3956
0 0 269 	 0 0 -0.3917
0 0 270 	 0 0 -0.3878
0 0 271 	 0 0 -0.3841
0 0 272 	 0 0 -0.3804
0 0 273 	 0 0 -0.37665
0 0 274 	 0 0 -0.3729
0 0 275 	 0 0 -0.3692
0 0 276 	 0 0 -0.3655
0 0 277 	 0 0 -0.362
0 0 278 	 0 0 -0.3585
0 0 279 	 0 0 -0.3551
0 0 280 	 0 0 -0.3517
0 0 281 	 0 0 -0.348043
0 0 282 	 0 0 -0.3448
0 0 283 	 0 0 -0.3414
0 0 284 	 0 0 -0.338
0 0 285 	 0 0 -0.33485
0 0 286 	 0 0 -0.3317
0 0 287 	 0 0 -0.3286
0 0 288 	 0 0 -0.3255
0 0 289 	 0 0 -0.32245
0 0 290 	 0 0 -0.3194
0 0 291 	 0 0 -0.3164
0 0 292 	 0 0 -0.3134
0 0 293 	 0 0 -0.3105
0 0 294 	 0 0 -0.3076
0 0 295 	 0 0 -0.30475
0 0 296 	 0 0 -0.3019
0 0 297 	 0 0 -0.298985
0 0 298 	 0 0 -0.2964
0 0 299 	 0 0 -0.2938
0 0 300 	 0 0 -0.2912
0 0 301 	 0 0 -0.2886
0 0 302 	 0 0 -0.286
0 0 303 	 0 0 -0.2834
0 0 304 	 0 0 -0.2808
0 0 305 	 0 0 -0.27835
0 0 306 	 0 0 -0.2759
0 0 307 	 0 0 -0.273462
0 0 308 	 0 0 -0.2713
0 0 309 	 0 0 -0.269
0 0 310 	 0 0 -0.2667
0 0 311 	 0 0 -0.264368
0 0 312 	 0 0 -0.2623
0 0 313 	 0 0 -0.26015
0 0 314 	 0 0 -0.258
0 0 315 	 0 0 -0.2559
0 0 316 	 0 0 -0.2538
0 0 317 	 0 0 -0.251627
0 0 318 	 0 0 -0.2497
0 0 319 	 0 0 -0.2478
0 0 320 	 0 0 -0.2459
0 0 321 	 0 0 -0.244
0 0 322 	 0 0 -0.2421
0 0 323 	 0 0 -0.240139
0 0 324 	 0 0 -0.2384
0 0 325 	 0 0 -0.2366
0 0 326 	 0 0 -0.2348
0 0 327 	 0 0 -0.233051
0 0 328 	 0 0 -0.2315
0 0 329 	 0 0 -0.2299
0 0 330 	 0 0 -0.2283
0 0 331 	 0 0 -0.2267
0 0 332 	 0 0 -0.2251
0 0 333 	 0 0 -0.223563
0 0 334 	 0 0 -0.2222
0 0 335 	 0 0 -0.2207
0 0 336 	 0 0 -0.2192
0 0 337 	 0 0 -0.2178
0 0 338 	 0 0 -0.2164
0 0 339 	 0 0 -0.21505
0 0 340 	 0 0 -0.2137
0 0 341 	 0 0 -0.21245
0 0 342 	 0 0 -0.2112
0 0 343 	 0 0 -0.2099
0 0 344 	 0 0 -0.2086
0 0 345 	 0 0 -0.20735
0 0 346 	 0 0 -0.2061
0 0 347 	 0 0 -0.20495
0 0 348 	 0 0 -0.2038
0 0 349 	 0 0 -0.2027
0 0 350 	 0 0 -0.2016
0 1 -250 	 0 0.00265 -0.524
0 1 -249 	 0 0.00265 -0.52925
0 1 -248 	 0 0.00265 -0.5345
0 1 -247 	 0 0.00275 -0.5399
0 1 -246 	 0 0.00275 -0.54525
0 1 -245 	 0 0.0029 -0.5507
0 1 -244 	 0 0.0029 -0.5562
0 1 -243 	 0 0.0029 -0.56175
0 1 -242 	 0 0.00285 -0.5673
0 1 -241 	 0 0.00285 -0.57295
0 1 -240 	 0 0.00285 -0.57865
0 1 -239 	 0 0.00285 -0.5844
0 1 -238 	 0 0.00285 -0.59015
0 1 -237 	 0 0.00285 -0.5959
0 1 -236 	 0 0.00285 -0.6017
0 1 -235 	 0 0.00285 -0.60755
0 1 -234 	 0 0.00295 -0.6135
0 1 -233 	 0 0.00295 -0.6195
0 1 -232 	 0 0.0031 -0.62545
0 1 -231 	 0 0.00305 -0.63155
0 1 -230 	 0 0.00305 -0.63765
0 1 -229 	 0 0.003 -0.64375
0 1 -228 	 0 0.003 -0.6499
0 1 -227 	 0 0.0032 -0.65615
0 1 -226 	 0 0.0032 -0.6623
0 1 -225 	 0 0.0032 -0.66865
0 1 -224 	 0 0.0032 -0.67495
0 1 -223 	 0 0.0032 -0.6813
0 1 -222 	 0 0.00315 -0.6877
0 1 -221 	 0 0.0032 -0.6941
0 1 -220 	 0 0.0032 -0.7005
0 1 -219 	 0 0.0033 -0.707
0 1 -218 	 0 0.0033 -0.7135
0 1 -217 	 0 0.0034 -0.7201
0 1 -216 	 0 0.0034 -0.7267
0 1 -215 	 0 0.0034 -0.73335
0 1 -214 	 0 0.0034 -0.74
0 1 -213 	 0 0.00335 -0.74675
0 1 -212 	 0 0.00335 -0.7535
0 1 -211 	 0 0.00335 -0.76025
0 1 -210 	 0 0.00335 -0.76705
0 1 -209 	 0 0.00335 -0.77385
0 1 -208 	 0 0.00335 -0.78065
0 1 -207 	 0 0.00335 -0.78745
0 1 -206 	 0 0.00345 -0.7943
0 1 -205 	 0 0.00355 -0.80125
0 1 -204 	 0 0.00355 -0.8082
0 1 -203 	 0 0.0035 -0.8152
0 1 -202 	 0 0.0035 -0.8222
0 1 -201 	 0 0.0035 -0.8292
0 1 -200 	 0 0.0035 -0.8362
0 1 -199 	 0 0.0035 -0.84325
0 1 -198 	 0 0.00355 -0.8503
0 1 -197 	 0 0.00355 -0.8574
0 1 -196 	 0 0.0036 -0.8645
0 1 -195 	 0 0.00355 -0.8716
0 1 -194 	 0 0.00355 -0.87875
0 1 -193 	 0 0.00355 -0.8859
0 1 -192 	 0 0.00355 -0.89305
0 1 -191 	 0 0.0036 -0.90025
0 1 -190 	 0 0.0036 -0.9074
0 1 -189 	 0 0.0036 -0.9146
0 1 -188 	 0 0.0036 -0.9218
0 1 -187 	 0 0.0036 -0.92905
0 1 -186 	 0 0.0036 -0.93625
0 1 -185 	 0 0.0036 -0.9435
0 1 -184 	 0 0.0036 -0.9507
0 1 -183 	 0 0.0036 -0.95795
0 1 -182 	 0 0.0036 -0.9652
0 1 -181 	 0 0.0036 -0.97245
0 1 -180 	 0 0.00365 -0.9797
0 1 -179 	 0 0.00365 -0.98695
0 1 -178 	 0 0.00365 -0.9942
0 1 -177 	 0 0.00365 -1.00145
0 1 -176 	 0 0.0036 -1.0087
0 1 -175 	 0 0.0036 -1.01595
0 1 -174 	 0 0.0036 -1.02315
0 1 -173 	 0 0.00365 -1.03035
0 1 -172 	 0 0.00365 -1.0376
0 1 -171 	 0 0.0036 -1.04485
0 1 -170 	 0 0.0036 -1.0521
0 1 -169 	 0 0.0036 -1.05925
0 1 -168 	 0 0.0036 -1.0664
0 1 -167 	 0 0.0036 -1.0736
0 1 -166 	 0 0.0036 -1.08075
0 1 -165 	 0 0.0036 -1.0879
0 1 -164 	 0 0.0036 -1.0951
0 1 -163 	 0 0.0035 -1.1022
0 1 -162 	 0 0.0035 -1.1093
0 1 -161 	 0 0.0035 -1.11635
0 1 -160 	 0 0.0035 -1.1234
0 1 -159 	 0 0.0035 -1.13045
0 1 -158 	 0 0.00355 -1.1375
